img,label
./images/Abortiporus_biennis0.JPG,Abortiporus_biennis
./images/Abortiporus_biennis1.JPG,Abortiporus_biennis
./images/Abortiporus_biennis10.JPG,Abortiporus_biennis
./images/Abortiporus_biennis11.JPG,Abortiporus_biennis
./images/Abortiporus_biennis12.JPG,Abortiporus_biennis
./images/Abortiporus_biennis13.JPG,Abortiporus_biennis
./images/Abortiporus_biennis14.JPG,Abortiporus_biennis
./images/Abortiporus_biennis15.JPG,Abortiporus_biennis
./images/Abortiporus_biennis16.JPG,Abortiporus_biennis
./images/Abortiporus_biennis17.JPG,Abortiporus_biennis
./images/Abortiporus_biennis18.JPG,Abortiporus_biennis
./images/Abortiporus_biennis19.JPG,Abortiporus_biennis
./images/Abortiporus_biennis2.JPG,Abortiporus_biennis
./images/Abortiporus_biennis20.JPG,Abortiporus_biennis
./images/Abortiporus_biennis21.JPG,Abortiporus_biennis
./images/Abortiporus_biennis22.JPG,Abortiporus_biennis
./images/Abortiporus_biennis23.JPG,Abortiporus_biennis
./images/Abortiporus_biennis24.JPG,Abortiporus_biennis
./images/Abortiporus_biennis25.JPG,Abortiporus_biennis
./images/Abortiporus_biennis26.JPG,Abortiporus_biennis
./images/Abortiporus_biennis27.JPG,Abortiporus_biennis
./images/Abortiporus_biennis28.JPG,Abortiporus_biennis
./images/Abortiporus_biennis29.JPG,Abortiporus_biennis
./images/Abortiporus_biennis3.JPG,Abortiporus_biennis
./images/Abortiporus_biennis30.JPG,Abortiporus_biennis
./images/Abortiporus_biennis31.JPG,Abortiporus_biennis
./images/Abortiporus_biennis32.JPG,Abortiporus_biennis
./images/Abortiporus_biennis33.JPG,Abortiporus_biennis
./images/Abortiporus_biennis34.JPG,Abortiporus_biennis
./images/Abortiporus_biennis35.JPG,Abortiporus_biennis
./images/Abortiporus_biennis36.JPG,Abortiporus_biennis
./images/Abortiporus_biennis37.JPG,Abortiporus_biennis
./images/Abortiporus_biennis38.JPG,Abortiporus_biennis
./images/Abortiporus_biennis39.JPG,Abortiporus_biennis
./images/Abortiporus_biennis4.JPG,Abortiporus_biennis
./images/Abortiporus_biennis40.JPG,Abortiporus_biennis
./images/Abortiporus_biennis41.JPG,Abortiporus_biennis
./images/Abortiporus_biennis42.JPG,Abortiporus_biennis
./images/Abortiporus_biennis43.JPG,Abortiporus_biennis
./images/Abortiporus_biennis44.JPG,Abortiporus_biennis
./images/Abortiporus_biennis45.JPG,Abortiporus_biennis
./images/Abortiporus_biennis46.JPG,Abortiporus_biennis
./images/Abortiporus_biennis47.JPG,Abortiporus_biennis
./images/Abortiporus_biennis48.JPG,Abortiporus_biennis
./images/Abortiporus_biennis49.JPG,Abortiporus_biennis
./images/Abortiporus_biennis5.JPG,Abortiporus_biennis
./images/Abortiporus_biennis50.JPG,Abortiporus_biennis
./images/Abortiporus_biennis51.JPG,Abortiporus_biennis
./images/Abortiporus_biennis52.JPG,Abortiporus_biennis
./images/Abortiporus_biennis53.JPG,Abortiporus_biennis
./images/Abortiporus_biennis54.JPG,Abortiporus_biennis
./images/Abortiporus_biennis55.JPG,Abortiporus_biennis
./images/Abortiporus_biennis56.JPG,Abortiporus_biennis
./images/Abortiporus_biennis57.JPG,Abortiporus_biennis
./images/Abortiporus_biennis58.JPG,Abortiporus_biennis
./images/Abortiporus_biennis6.JPG,Abortiporus_biennis
